#LCNum:0.446735
#-1 point
-0.250000 0.050000 -1.000000
-0.350000 0.250000 -1.000000
-0.350000 0.350000 -1.000000
-0.250000 0.350000 -1.000000
-0.050000 0.350000 -1.000000
0.050000 0.050000 -1.000000
0.050000 0.250000 -1.000000
0.350000 0.350000 -1.000000


#red +1 point
-0.150000 0.050000 1.000000
-0.250000 0.250000 1.000000
-0.250000 0.450000 1.000000
0.350000 0.150000 1.000000
0.050000 0.150000 1.000000
0.250000 0.250000 1.000000
0.150000 0.350000 1.000000
0.350000 0.450000 1.000000
0.250000 0.450000 1.000000
